Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Nancy Goroff,D,NY,01,2020,False,False,7866239,7860977,5262,845374,4296487,356549,2255600,112228,3368024,10767,20900
Jackie Gordon,D,NY,02,2020,False,False,4351881,4334484,17396,790616,2156503,772950,125,631686,1640251,43350,20700
Andrew Garbarino,R,NY,02,2020,False,True,1743986,1612132,131854,382839,919122,437700,0,4325,606336,9650,80785
Harry Burger,3,NY,02,2020,False,False,2430,594,1836,1835,595,0,0,0,344,0,0
Tom Suozzi,D,NY,03,2020,True,True,2941006,2331302,1930681,64453,1708469,1127547,0,40538,1674043,29435,4882
George Devolder-Santos,R,NY,03,2020,False,False,658883,591239,67723,253044,351578,20285,50050,-16074,272698,9501,21205
Joshua Sauberman,I,NY,03,2020,False,False,127,270,-2258,127,0,0,0,0,0,0,0
Kathleen Rice,D,NY,04,2020,True,True,1106258,1210410,189845,75369,519491,466550,0,44848,606214,2000,2500
Douglas Tuman,R,NY,04,2020,False,False,134937,130995,3942,13093,117734,1500,0,2610,90963,0,1000
Ed Dennehy,I,NY,04,2020,False,False,9031,9031,0,0,15000,0,0,9031,0,0,0
Gregory W Meeks,D,NY,05,2020,True,True,2097572,1467454,781472,15470,469082,1207765,0,405255,860514,4950,14500
Amit Lal,I,NY,05,2020,False,False,126,0,126,126,5200,0,0,-5200,0,0,5200
Grace Meng,D,NY,06,2020,True,True,1292084,1872311,395520,40755,758493,478600,0,14236,526849,2900,5600
Thomas Zmich,R,NY,06,2020,False,False,133403,131278,2125,9633,18520,250,105000,0,17020,1300,200
Nydia Velazquez,D,NY,07,2020,True,True,803217,676248,310382,33249,415283,372800,0,-18115,118956,1000,0
Hakeem Jeffries,D,NY,08,2020,True,True,4168717,3293077,2145322,142068,2383236,1669549,0,-26137,906241,350,9950
Yvette D Clarke,D,NY,09,2020,True,True,1200067,1190143,71621,54107,300898,854362,0,-9299,160280,4900,2300
Jerrold Nadler,D,NY,10,2020,True,True,1848688,1950774,508339,228413,867098,667377,0,85799,670684,16365,3850
Cathy Bernstein,R,NY,10,2020,False,False,49975,28384,21591,31737,16068,0,1470,700,16067,0,0
Jeanne Nigro,I,NY,10,2020,False,False,34548,28039,3261,10793,23780,0,0,-25,11045,0,12735
Michael Madrid,L,NY,10,2020,False,False,14326,12149,2178,2420,6850,5000,56,0,100,0,6750
Max Rose,D,NY,11,2020,True,False,9284434,9499242,23184,759083,6550548,945811,0,1028993,5355865,94479,99180
Nicole Malliotakis,R,NY,11,2020,False,True,3469995,3447052,22943,614446,2391172,341175,3270,119933,1799173,44050,65585
Kemi Akindude,I,NY,11,2020,False,False,21261,14697,624,3111,18150,0,0,0,12530,200,0
Carolyn B Maloney,D,NY,12,2020,True,True,3067173,3059202,116416,114941,1414716,1239375,300000,-1858,1057817,15475,52950
Adriano Espaillat,D,NY,13,2020,True,True,1087237,1252740,102521,17553,526990,315680,0,227014,518770,0,6460
Lovelynn Gwinn,R,NY,13,2020,False,False,39384,39384,0,3328,30700,3050,2306,0,27450,0,3250
Alexandria Ocasio-Cortez,D,NY,14,2020,True,True,20664795,16735422,4297383,16434594,4240381,60690,0,-70871,3560471,62662,4898
John C. Cummings,R,NY,14,2020,False,False,11140937,10947758,193228,7798364,3402094,7100,0,-66621,2222299,54072,1140182
Ritchie Torres,D,NY,15,2020,False,True,2194025,1804336,389690,49485,1823581,299980,0,20979,1444068,21951,8183
Jamaal Bowman,D,NY,16,2020,False,True,2878898,2801424,77474,1499910,1238933,165445,0,-25390,220965,468,3700
Mondaire Jones,D,NY,17,2020,False,True,2984052,2186463,797588,575100,2142528,271150,0,-4725,289186,1700,19980
Maureen McArdle Schulman,R,NY,17,2020,False,False,54732,60084,-5327,19190,22626,6355,4745,1817,21989,0,485
Michael Parietti,3,NY,17,2020,False,False,44787,19670,25116,490,3050,0,41247,0,2800,0,0
Sean Patrick Maloney,D,NY,18,2020,True,True,2556294,1718525,860002,350565,1435133,684477,0,86119,1298422,17734,11000
Chele Farley,R,NY,18,2020,False,False,1186211,1152124,34086,187183,769215,110550,54169,65094,602178,3200,14660
Scott Smith,I,NY,18,2020,False,False,8718,8403,495,3270,3151,0,2297,0,0,0,0
Antonio Delgado,D,NY,19,2020,True,True,5949475,2963286,3064789,726637,4229518,636446,0,356874,3125352,52357,58091
Kyle Van De Water,R,NY,19,2020,False,False,153796,120097,33700,26875,46578,6984,0,73359,54472,0,1250
Paul Tonko,D,NY,20,2020,True,True,1541984,1418994,811660,153288,391628,995065,0,2004,341496,1150,0
Elizabeth Joy,R,NY,20,2020,False,False,370852,336845,34007,133071,220719,21422,964,-5325,217594,3600,0
Elise Stefanik,R,NY,21,2020,True,True,13287248,11655936,1983541,6477361,4697347,1667056,0,445484,4047905,83379,215391
Tedra Cobb,D,NY,21,2020,False,False,5586793,5593266,32848,2619479,2892351,125897,498,-51432,1655415,27190,20793
Anthony Brindisi,D,NY,22,2020,True,False,6020190,5772429,252624,637141,3321510,1296225,0,765313,3010572,21800,7570
Claudia Tenney,R,NY,22,2020,False,False,3051777,2725893,402867,623109,1371926,441700,0,615042,2136764,22597,196581
Tom Reed,R,NY,23,2020,True,True,3275177,3145027,182389,71186,1135029,1723200,0,345761,985386,5600,209021
Tracy Mitrano,D,NY,23,2020,False,False,1450322,1466128,3284,383509,999590,50551,11250,5423,664348,897,1814
