Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Conor Lamb,D,PA,17,2020,True,True,4063114,3448850,852818,692356,2652103,697177,0,21477,2927708,29154,1500
Sean Parnell,R,PA,17,2020,False,False,3935774,3732399,203375,1204225,1963431,306128,11200,450791,1814889,27500,121337
Mike Doyle,D,PA,18,2020,True,True,1008711,999692,265897,6771,232884,759750,0,9306,163634,0,2000
Luke Negron,R,PA,18,2020,False,False,57714,51666,6048,21227,31553,8600,456,-4123,30953,0,0
Jack Reed,D,RI,S2,2020,True,True,4000209,3956241,2009387,77233,1908787,1857482,0,156706,885489,0,250
Allen Waters,R,RI,S2,2020,False,False,29726,22368,7406,4745,14184,0,10772,25,7705,2800,3075
David Cicilline,D,RI,01,2020,True,True,1574854,1743173,529048,111105,974175,379720,0,109853,506032,1200,30427
Jim Langevin,D,RI,02,2020,True,True,1102312,1422339,711473,37161,510761,522834,500,31056,450481,500,0
Bob Lancia,R,RI,02,2020,False,False,55549,47877,7673,16832,12501,0,27417,-1200,11501,0,0
Lindsey Graham,R,SC,S2,2020,True,True,108916223,96884518,12487828,51550832,54431894,2892972,100,40426,18116213,225513,7743072
Jaime Harrison,D,SC,S2,2020,False,False,130542234,130206808,335427,70858482,60250924,725929,0,-1293102,60620766,645366,857869
Joe Cunningham,D,SC,01,2020,True,False,6941746,6993962,6372,909904,5372466,196993,0,462383,3528442,12651,5025
Nancy Mace,R,SC,01,2020,False,True,5766726,5707239,59487,1999716,3321939,322626,100,122344,1452798,8182,1017256
Joe Wilson,R,SC,02,2020,True,True,1648065,1723956,74366,162833,806524,683300,0,-4593,769307,14450,0
Adair Boroughs,D,SC,02,2020,False,False,2510526,2507664,2862,860875,1601786,73974,0,-26109,845673,875,0
Jeff Duncan,R,SC,03,2020,True,True,1509647,1271872,482411,459054,381634,645145,0,23814,484266,5075,39886
Hosea Cleveland,D,SC,03,2020,False,False,43214,45107,0,0,26573,0,15642,1000,0,0,0
William Timmons,R,SC,04,2020,True,True,977784,982233,8690,14367,276400,750550,0,-63533,215800,9350,9500
Kim Nelson,D,SC,04,2020,False,False,167825,167508,317,63523,99977,4250,100,-25,92101,0,0
Ralph Norman,R,SC,05,2020,True,True,991246,859747,727939,129482,559420,329400,0,-27057,567446,11250,13375
Moe Brown,D,SC,05,2020,False,False,480648,477295,3353,112932,344056,25000,0,-1340,163034,0,281
James E Clyburn,D,SC,06,2020,True,True,3406945,2332128,1980495,160190,1041355,2223932,0,-18533,634953,300,14535
Tom Rice,R,SC,07,2020,True,True,1405738,1242208,1121354,9124,533069,856150,0,7395,528219,2250,500
Melissa Watson,D,SC,07,2020,False,False,147623,147623,0,65159,67661,14503,100,200,27101,4150,2150
Larry Guy Hammond,L,SC,07,2020,False,False,199,199,0,0,0,0,199,0,0,0,0
Mike Rounds,R,SD,S2,2020,True,True,4756483,3193360,1682522,365001,2150310,2176307,4320,60544,1538080,41900,56619
Dan Ahlers,D,SD,S2,2020,False,False,273833,253114,20719,152591,92963,15769,10,12500,90475,0,0
Dusty Johnson,R,SD,01,2020,True,True,1693504,699356,1050141,88019,1008873,486540,0,110072,1096849,6531,7000
Bill Hagerty,R,TN,S2,2020,False,True,11423537,11368478,55059,298850,7015336,1074725,0,3034626,6445316,37000,26616
Marquita Bradshaw,D,TN,S2,2020,False,False,1606932,1590723,16209,954836,609651,50855,0,-8409,517088,5263,2500
Yomi Faparusi,I,TN,S2,2020,False,False,49874,49874,0,7985,11700,9262,20928,0,20400,1000,2000
Elizabeth McLeod,I,TN,S2,2020,False,False,9777,9777,0,150,300,0,9327,0,300,0,0
Dean Hill,I,TN,S2,2020,False,False,58,58,0,0,0,0,58,0,0,0,0
Diana Harshbarger,R,TN,01,2020,False,True,2126946,1869100,257846,44239,315489,222800,1461293,83124,185473,2800,8350
Blair Nicole Walsingham,D,TN,01,2020,False,False,140209,134995,5215,68604,70085,1520,0,0,54886,100,12800
Tim Burchett,R,TN,02,2020,True,True,1336276,878488,593678,343014,729831,269535,0,-6105,708346,5250,1250
Renee Hoyos,D,TN,02,2020,False,False,812784,816793,210,0,807459,3100,0,2225,621145,3710,45081
Chuck Fleischmann,R,TN,03,2020,True,True,1051653,381411,1880341,4285,599060,453858,0,-5550,594719,11200,0
Meg Gorman,D,TN,03,2020,False,False,85843,77760,8083,31026,50245,2672,2000,-100,46245,500,3976
Scott Desjarlais,R,TN,04,2020,True,True,331464,392499,302649,2867,204598,124249,0,-250,192398,0,0
Christopher Hale,D,TN,04,2020,False,False,308731,302996,5735,178340,102069,2698,30042,-4418,64806,0,0
Jim Cooper,D,TN,05,2020,True,True,936569,1332131,272934,37927,470362,430750,0,-2470,469111,1250,0
John Rose,R,TN,06,2020,True,True,1050429,625688,454375,8874,575870,417700,463915,-415930,652120,17800,0
Mark Green,R,TN,07,2020,True,True,1194960,935487,287889,0,819151,171900,0,203909,1061024,2676,11928
Kiran Sreepada,D,TN,07,2020,False,False,206644,207191,0,23515,179130,4000,0,0,148383,10,7051
Ronald Brown,I,TN,07,2020,False,False,1750,0,9006,1450,300,0,0,0,300,0,0
Scott Vieira Jr,I,TN,07,2020,False,False,655,1049,-197,45,0,10,35,565,386,0,0
David Kustoff,R,TN,08,2020,True,True,1641217,999285,713832,26882,990617,693750,0,-70032,1035884,16450,72150
Erika Stotts Pearson,D,TN,08,2020,False,False,19070,15883,4137,1500,11700,152,5718,0,8500,0,3200
Steve Cohen,D,TN,09,2020,True,True,607570,457311,1216119,15929,179222,409087,0,3332,159630,0,17090
Charlotte Bergmann,R,TN,09,2020,False,False,99147,100532,2566,8774,35224,824,48825,5500,40494,6500,0
Dennis Clark,I,TN,09,2020,False,False,9991,9919,40,75,125,0,9489,100,0,0,0
John Cornyn,R,TX,S1,2020,True,True,34158785,36437106,633461,6737341,13757021,3862698,0,9801724,17906881,117424,270236
MJ Hegar,D,TX,S1,2020,False,False,29272803,29233720,86565,14672676,13373346,551646,0,675136,9576312,33965,0
Kerry McKennon,L,TX,S1,2020,False,False,12707,14044,3053,4462,8244,0,0,1,5594,2000,650
Louis B Gohmert Jr.,R,TX,01,2020,True,True,552915,580441,33662,71188,396181,88346,0,-2800,385930,9250,1000
Hank Gilbert,D,TX,01,2020,False,False,968155,734411,233744,526317,243384,148454,50000,0,209663,3050,0
Dan Crenshaw,R,TX,02,2020,True,True,19427865,17596329,1852715,9714422,7955316,868780,0,889347,5079931,22825,2502529
Sima Ladjevardian,D,TX,02,2020,False,False,3832697,3825287,7410,700545,2779248,235725,109705,7474,1583913,29002,3500
Elliott Scheirman,L,TX,02,2020,False,False,15374,14296,-942,5339,7286,2750,0,0,4485,0,0
Van Taylor,R,TX,03,2020,True,True,2655327,2825378,22498,65794,1215088,983947,74231,316267,1736196,31157,83115
Helane Seikaly,D,TX,03,2020,False,False,1635185,1634843,342,239220,1221832,181587,1635,-9090,932822,18200,5600
Patrick Fallon,R,TX,04,2020,False,True,257174,95065,162109,26587,38128,102109,25000,65350,110812,5600,1000
Tracy Shawn Jones,I,TX,04,2020,False,False,13002,10595,2407,300,10302,0,2400,0,10302,0,0
Lance Gooden,R,TX,05,2020,True,True,1610327,1311983,452535,19030,729838,859226,0,2233,655915,5600,29401
Carolyn Salter,D,TX,05,2020,False,False,317848,289112,28736,34772,110006,4720,165500,2850,66827,0,750
Kevin Hale,L,TX,05,2020,False,False,18405,6508,11678,8257,8534,0,1615,0,8534,0,0
Ron Wright,R,TX,06,2020,True,True,912134,907693,6834,36952,324191,417004,0,133986,454513,1550,8650
Stephen Daniel,D,TX,06,2020,False,False,680402,677568,2834,89183,529036,43952,101,18130,293525,250,0
Lizzie Fletcher,D,TX,07,2020,True,True,6265165,6246136,61097,441066,3995500,1342643,495,485462,2977585,26153,4950
Wesley Hunt,R,TX,07,2020,False,False,7524064,7300122,223942,2091964,4487393,434900,0,509807,4125544,71851,134278
Kevin Brady,R,TX,08,2020,True,True,3570477,3190447,1102667,15167,655962,2338484,0,560864,1309686,1000,34100
Elizabeth Hernandez,D,TX,08,2020,False,False,17227,14981,1985,7643,8512,1072,0,0,8513,0,0
Al Green,D,TX,09,2020,True,True,460332,486155,239806,24532,206065,244000,0,-14265,143914,750,11100
Johnny Teague,R,TX,09,2020,False,False,89965,88366,150,7139,50556,0,31650,620,44056,500,1000
Michael McCaul,R,TX,10,2020,True,True,3856477,3910930,7734,341901,1083774,1267159,0,1163643,2377746,9650,9475
Mike Siegel,D,TX,10,2020,False,False,2873926,2829765,47652,875073,1742344,295189,0,-38680,909539,4600,28397
August Pfluger,R,TX,11,2020,False,True,2578540,1984134,594406,89688,1931707,317238,0,239908,1553690,59943,85210
Jon Mark Hogg,D,TX,11,2020,False,False,137730,135141,2589,31872,102161,100,3339,258,100737,0,300
Kay Granger,R,TX,12,2020,True,True,3161288,3271815,310674,71854,1706270,1458909,0,-75745,1792733,6800,21200
Lisa Welch,D,TX,12,2020,False,False,98465,98475,-10,26355,38332,15675,15100,3002,27866,1500,0
Trey Holcomb,L,TX,12,2020,False,False,967,457,510,867,0,0,100,0,0,0,0
Ronny Jackson,R,TX,13,2020,False,True,2128271,1741132,387139,570098,1061514,451409,3785,41465,916657,24110,2800
Gus Trujillo,D,TX,13,2020,False,False,22826,18820,4006,12615,10211,0,0,0,6600,0,3100
Randy Weber,R,TX,14,2020,True,True,936202,924659,471407,35883,515114,389157,0,-3951,571090,8350,6550
Adrienne Bell,D,TX,14,2020,False,False,244754,240934,8921,92238,135995,15114,0,1407,71423,1000,250
Cyrus Sajna,I,TX,14,2020,False,False,35096,34942,609,96,0,0,35000,0,0,0,0
Michael David Sanchez,I,TX,14,2020,False,False,100,12,88,100,0,0,0,0,0,0,0
Vicente Gonzalez,D,TX,15,2020,True,True,1008381,657500,1371492,13893,178540,993059,0,-177111,166278,0,4300
Monica De La Cruz Hernandez,R,TX,15,2020,False,False,344893,338832,7506,46534,254359,26000,89000,-71000,117539,4500,44402
Veronica Escobar,D,TX,16,2020,True,True,1135549,1087693,284855,48463,475548,607534,0,4004,257804,0,0
Irene Armendariz-Jackson,R,TX,16,2020,False,False,168997,153671,16242,33168,111320,5500,15090,3919,59446,3000,1000
Pete Sessions,R,TX,17,2020,False,True,1447958,1658637,165990,20016,696767,583091,140000,8084,688666,8300,0
Rick Kennedy,D,TX,17,2020,False,False,200668,202096,0,73575,133478,2555,0,-8940,83123,0,9200
Ted Brown,L,TX,17,2020,False,False,3041,3041,0,233,0,200,2608,0,0,0,0
Sheila Jackson Lee,D,TX,18,2020,True,True,924480,838414,167820,9496,670086,242856,0,2042,417215,39000,0
Wendell Champion,R,TX,18,2020,False,False,305645,271278,34367,74519,220296,10300,530,0,181212,4300,30102
Jodey Arrington,R,TX,19,2020,True,True,2497184,1932700,1099354,17831,1262527,1212871,0,3954,1270275,14800,8050
Tom Watson,D,TX,19,2020,False,False,49405,60806,-20984,9073,24061,11,15000,1259,21251,0,0
Joaquin Castro,D,TX,20,2020,True,True,674061,686934,115747,149689,245307,294600,0,-15535,117299,1033,100
Mauro Garza,R,TX,20,2020,False,False,263293,240930,45852,5886,10011,200,247196,0,4015,0,800
Chip Roy,R,TX,21,2020,True,True,5005639,4679362,463583,1066631,3130111,607516,0,201382,3020340,43167,271377
Wendy Davis,D,TX,21,2020,False,False,10263486,10201874,61611,3217247,6045440,564940,135544,300315,3791041,9282,0
Michael Felts,I,TX,21,2020,False,False,3570,1851,3354,820,2750,0,0,0,2750,0,0
Sri Kulkarni,D,TX,22,2020,False,False,5639061,5630098,36731,545549,4111206,596398,0,385909,2685956,43748,67844
Troy Nehls,R,TX,22,2020,False,True,1806655,1787448,24807,210309,1097312,325348,0,173686,1237454,17185,70420
Gina Ortiz Jones,D,TX,23,2020,False,False,6755222,6842440,4301,977797,4663810,850889,0,262725,3600717,20000,23484
Tony Gonzales,R,TX,23,2020,False,True,2797133,2764108,33026,284352,1586445,533900,1982,390455,1750058,47223,121063
Candace Valenzuela,D,TX,24,2020,False,False,4886999,4875031,11967,1269812,2650283,704277,2800,259826,1176333,15219,1404
Beth Van Duyne,R,TX,24,2020,False,True,3410852,3342442,68410,433834,2018384,651853,0,306781,2058488,33179,142185
Stephen Kuzmich,I,TX,24,2020,False,False,175504,201332,2073,1150,48025,250,126079,0,48025,0,0
Mark Bauer,I,TX,24,2020,False,False,26342,26542,-200,3248,1171,0,21922,0,1071,0,100
Darren Hamilton,L,TX,24,2020,False,False,570,212,358,320,250,0,0,0,250,0,0
Roger Williams,R,TX,25,2020,True,True,2435121,3347267,11542,31379,574050,891297,50000,888395,1349044,8700,3750
Julie Oliver,D,TX,25,2020,False,False,2190347,2176319,14028,779063,1398256,22000,2916,-11888,772164,3581,29566
Michael Burgess,R,TX,26,2020,True,True,1806588,2081391,142497,59632,565658,1005757,0,175540,649227,7050,15750
Carol Iannuzzi,D,TX,26,2020,False,False,95937,95937,0,29307,18551,1567,44362,2150,26976,250,0
Michael Cloud,R,TX,27,2020,True,True,1014427,829748,242372,82459,693755,238080,1000,-866,670503,15543,2500
Ricardo De La Fuente,D,TX,27,2020,False,False,312096,312096,0,874,4350,0,306872,0,4350,0,0
Henry Cuellar,D,TX,28,2020,True,True,2655317,3650848,1550473,28876,1076991,1486620,18000,44831,984980,12900,26500
Sandra Whitten,R,TX,28,2020,False,False,24760,27354,-1770,11415,13345,0,0,0,11745,1700,600
Sylvia Garcia,D,TX,29,2020,True,True,818984,758382,247599,23702,203620,627800,0,-36138,180890,2750,3500
Jaimy Blanco,R,TX,29,2020,False,False,4378,0,4378,1190,3189,0,0,0,3185,0,0
Eddie Bernice Johnson,D,TX,30,2020,True,True,589096,494547,415685,8980,161310,417266,0,1539,143960,6050,7300
Demetrick Pennie,R,TX,30,2020,False,False,311109,305446,5663,184396,127055,100,0,-442,97788,23634,5476
John Carter,R,TX,31,2020,True,True,2160187,2214487,200406,277430,797277,939050,0,146431,796576,11100,0
Donna Imam,D,TX,31,2020,False,False,1035222,1035272,-50,436793,529594,70911,0,-2075,457499,5800,1350
Colin Allred,D,TX,32,2020,True,True,5667725,5611747,159422,559289,3997257,941590,0,169589,1370756,5247,0
Genevieve Collins,R,TX,32,2020,False,False,5923081,5915256,7825,424937,2783474,359880,2130000,224790,1512585,26531,472233
Jason Sigmon,I,TX,32,2020,False,False,11791,11651,154,140,0,0,11651,0,0,0,0
Marc Veasey,D,TX,33,2020,True,True,1621929,1613446,468344,18607,464661,1156543,0,-17883,458452,3550,17200
Fabian Cordova Vasquez,R,TX,33,2020,False,False,36692,25585,11107,9380,16250,0,11061,0,2100,0,13150
Filemon Vela,D,TX,34,2020,True,True,983026,1024180,564720,4069,219000,766157,0,-6201,115000,0,0
Rey Gonzalez,R,TX,34,2020,False,False,37118,37446,-2950,5385,19900,0,11833,0,3900,0,11333
Lloyd Doggett,D,TX,35,2020,True,True,1336576,424804,5205475,44273,569030,513618,424,209231,564453,7150,0
Jennifer Sharon,R,TX,35,2020,False,False,19011,14442,4569,4896,9350,0,4765,0,9350,0,0
Jason Mata,I,TX,35,2020,False,False,2632,2632,0,0,0,0,2632,0,0,0,0
Brian Babin,R,TX,36,2020,True,True,1345351,1297185,785081,78268,672436,591777,100,2770,607214,4360,17650
Brandon Rashad Lewis,D,TX,36,2020,False,False,21714,12278,10813,8819,8204,4691,0,0,2705,0,825
Blake Moore,R,UT,01,2020,False,True,844377,816015,28362,24886,396300,149300,268891,5000,496300,1000,9500
Darren Parry,D,UT,01,2020,False,False,41218,40904,315,13868,26850,0,0,500,13625,0,2000
Chris Stewart,R,UT,02,2020,True,True,835139,812462,164694,42802,346297,505983,0,-59943,381060,1500,6800
John Kael Weston,D,UT,02,2020,False,False,344774,306872,37905,44645,295981,1000,2667,480,174835,7835,12385
Joe Jarvis,3,UT,02,2020,False,False,22989,22989,0,0,25289,0,3300,19689,26250,0,250
John Curtis,R,UT,03,2020,True,True,874311,687265,351305,7287,256750,535967,0,74307,374268,3500,15320
Devin Thorpe,D,UT,03,2020,False,False,191412,190200,1211,69382,119930,100,2000,0,108412,1050,3713
Thomas G. McNeill,3,UT,03,2020,False,False,5516,5516,0,2495,0,0,2210,812,0,0,0
Russel Fugal,I,UT,03,2020,False,False,393,346,46,191,202,0,0,0,0,0,0
Ben McAdams,D,UT,04,2020,True,False,5613542,5555591,136323,632670,3477897,1518054,0,-15079,2033665,35941,72326
Burgess Owens,R,UT,04,2020,False,True,5129475,5049146,80329,2173067,2364289,321627,0,270492,2886067,61075,497909
Jonia Broderick,3,UT,04,2020,False,False,21394,21265,1002,311,19600,594,261,628,35440,0,0
Peter Welch,D,VT,01,2020,True,True,847320,865252,2107307,273690,1000,497824,0,74806,222430,2129,10725
Mark Warner,D,VA,S2,2020,True,True,17233036,16976634,388410,1708514,8920771,3671534,0,2932214,5670625,28800,3350
Daniel Gade,R,VA,S2,2020,False,False,4888110,4880329,7781,1646958,3039828,99789,0,101536,5238985,179190,700593
Rob Wittman,R,VA,01,2020,True,True,1969785,2140375,187331,205643,823859,724237,0,216046,1426594,9007,49250
Qasim Rashid,D,VA,01,2020,False,False,1559108,1559108,0,661297,815191,62980,0,19639,522048,14375,0
Elaine Luria,D,VA,02,2020,True,True,6522276,6387474,142175,783729,3976022,1060315,0,702210,3167506,3300,500
Scott Taylor,R,VA,02,2020,False,False,2452292,2446410,22613,684440,1340923,267000,2385,157544,1989537,52874,84551
Bobby Scott,D,VA,03,2020,True,True,873126,832419,212393,34941,187435,653550,0,-2800,170985,0,6650
John Collick,R,VA,03,2020,False,False,167146,165080,2189,87800,70121,8250,0,6165,58665,700,0
Donald McEachin,D,VA,04,2020,True,True,961412,963788,209132,35367,290574,648400,0,-12929,137331,500,1250
Leon Benjamin,R,VA,04,2020,False,False,545354,523429,21925,283265,240819,21550,0,-280,452241,9530,1550
Cameron Webb,D,VA,05,2020,False,False,5755917,5750924,4993,1619113,3557157,574838,5000,-191,3097258,37585,53980
Bob Good,R,VA,05,2020,False,True,1373867,1323530,50336,203479,923351,171375,2000,73661,997851,11350,16876
Ben Cline,R,VA,06,2020,True,True,892955,672928,238774,60197,474088,361470,0,-2800,480086,2487,3850
Nicholas Betts,D,VA,06,2020,False,False,56190,54205,0,24535,21195,2850,2733,4877,21194,0,0
Abigail Spanberger,D,VA,07,2020,True,True,8387680,7852213,582133,1505536,5059973,977966,0,844205,4052601,21297,15414
Nick Freitas,R,VA,07,2020,False,False,3629431,3600108,29323,1080195,2090414,284320,0,174502,1650308,8615,342009
Don Beyer,D,VA,08,2020,True,True,1729482,2071906,640022,116541,952212,665315,0,-4587,417554,0,0
Jeff Jordan,R,VA,08,2020,False,False,96035,96035,0,16093,46353,0,27089,6500,42936,0,1600
Heerak Christian Kim,I,VA,08,2020,False,False,2036,1921,114,470,0,0,1566,0,0,0,0
Morgan Griffith,R,VA,09,2020,True,True,873612,463916,421442,53604,229108,590900,0,0,238083,4000,0
Jennifer Wexton,D,VA,10,2020,True,True,3855331,1772250,2140698,473747,2637411,738007,0,6166,1888662,18950,7253
Aliscia Andrews,R,VA,10,2020,False,False,1567598,1413145,158052,815686,664062,31165,0,56685,397237,4300,58158
Gerry Connolly,D,VA,11,2020,True,True,1998592,1811776,2891921,277678,792186,856693,0,72036,543019,1767,21660
Manga Anantatmula,R,VA,11,2020,False,False,282152,268326,13826,139807,119869,16500,5976,0,83825,0,0
Stevan Porter,L,VA,11,2020,False,False,533,1316,149,65,0,0,398,70,0,0,0
Suzan DelBene,D,WA,01,2020,True,True,2182985,1897162,1339118,141769,798662,1243337,0,-783,572538,0,300
Jeffrey Beeler,R,WA,01,2020,False,False,61970,62279,4040,18974,40252,0,10,2734,34048,0,0
Rick Larsen,D,WA,02,2020,True,True,1275127,1219489,327798,84069,323509,873850,0,-6301,91974,500,0
Tim Hazelo,R,WA,02,2020,False,False,49478,49322,156,17032,22760,0,7586,2100,9245,0,0
Jaime Herrera Beutler,R,WA,03,2020,True,True,4566383,4540148,75202,1061492,1803472,1468190,0,233229,1144245,3750,79714
Carolyn Long,D,WA,03,2020,False,False,4130540,4142685,18007,858718,2802409,405171,0,64241,1611684,666,330
Dan Newhouse,R,WA,04,2020,True,True,1173464,991174,299719,100503,399062,668062,0,5836,241785,8000,5250
Doug McKinley,D,WA,04,2020,False,False,57666,54227,3440,21473,29800,4293,0,2100,31566,0,0
Cathy McMorris Rodgers,R,WA,05,2020,True,True,4349448,3432572,1075550,762051,1518885,1812368,0,256144,1804610,13180,16820
Dave Wilson,D,WA,05,2020,False,False,109636,109636,0,39595,55762,12026,1854,400,51675,1000,0
Derek Kilmer,D,WA,06,2020,True,True,2524026,2531111,2988099,160221,1114788,1280687,0,-31671,807259,250,520
Elizabeth Kreiselmaier,R,WA,06,2020,False,False,156123,145108,11015,38677,82786,5120,24541,5000,60801,0,0
Pramila Jayapal,D,WA,07,2020,True,True,2630000,1530626,1783613,615577,1656376,358320,396,-669,911370,22810,1059
Craig Keller,R,WA,07,2020,False,False,2904,3703,14,20,2345,0,1024,-485,0,0,0
Kim Schrier,D,WA,08,2020,True,True,5422491,3774398,1717753,718263,3749898,903713,0,50617,2930194,30620,9671
Jesse Jensen,R,WA,08,2020,False,False,852396,842269,10127,132959,585322,52550,0,81565,264985,15850,26670
Adam Smith,D,WA,09,2020,True,True,1324761,930710,585828,26980,523669,776312,0,-2200,457969,0,1000
Doug Basler,R,WA,09,2020,False,False,22536,18328,4790,2811,14200,5000,25,500,13950,250,0
Marilyn Strickland,D,WA,10,2020,False,True,1812659,1780633,32026,225957,1129936,414574,50000,-7808,888533,9720,850
Beth Doglio,D,WA,10,2020,False,False,1477678,1477678,0,397104,832737,248107,5789,-6058,415433,500,0
Shelley Moore Capito,R,WV,S2,2020,True,True,5749615,3961203,2470530,382825,2252096,2719600,0,395094,2063568,6725,13450
Paula Jean Swearengin,D,WV,S2,2020,False,False,2045546,1979561,65985,1167978,847166,14850,0,15551,431381,3185,7450
David McKinley,R,WV,01,2020,True,True,1092609,1085864,393211,14287,293195,787127,0,-2000,259302,0,16900
Natalie Ms. Cline,D,WV,01,2020,False,False,81032,81881,0,26870,48964,733,4636,-171,32914,400,0
Alex Mooney,R,WV,02,2020,True,True,2155978,864001,2308154,328301,944006,708058,0,175613,1098327,12205,29440
Catherine Kunkel,D,WV,02,2020,False,False,641567,641567,0,206723,413743,11988,9468,-355,236806,1310,0
Carol Miller,R,WV,03,2020,True,True,869210,720796,167007,39097,345600,494558,0,-10044,270044,3700,750
Hilary Turner,D,WV,03,2020,False,False,99214,98769,446,43994,55144,17,59,0,41990,250,0
Belinda Fox-Spencer,I,WV,03,2020,False,False,5207,5207,0,580,3509,0,1118,0,1259,2250,0
Bryan Steil,R,WI,01,2020,True,True,3500849,3151701,375503,255480,1789383,1235486,0,220500,1656433,14750,24434
Roger Polack,D,WI,01,2020,False,False,536228,526431,9797,148802,376861,11500,0,-935,267867,0,2900
Mark Pocan,D,WI,02,2020,True,True,1290582,1014628,851013,384206,351933,524905,0,29538,394329,336,600
Peter Theron,R,WI,02,2020,False,False,35753,33977,4722,19408,15770,200,0,375,14595,0,375
Ron Kind,D,WI,03,2020,True,True,2989262,4435403,877172,454,941995,2003262,0,43551,735175,10383,48046
Derrick Van Orden,R,WI,03,2020,False,False,1962443,1948639,13804,458861,1365908,87100,70,50503,861172,2148,18650
Gwen Moore,D,WI,04,2020,True,True,1183995,1166739,34000,49425,266058,837592,0,30921,207383,2250,750
Scott Fitzgerald,R,WI,05,2020,False,True,1155721,968406,187315,209620,602991,322613,250,20246,598212,21654,11636
Tom Palzewicz,D,WI,05,2020,False,False,370392,371799,0,158653,195490,16250,0,0,205082,2930,11700
Glenn S Grothman,R,WI,06,2020,True,True,1815756,1736659,269431,265172,1031334,386784,0,132467,1038404,14007,14344
Jessica King,D,WI,06,2020,False,False,287753,245788,41965,109657,137347,29825,2591,8333,322547,3900,0
Tom Tiffany,R,WI,07,2020,True,True,2637459,2514740,122719,518787,1716838,363117,0,38716,1605296,20642,29468
Tricia Zunker,D,WI,07,2020,False,False,1261957,1232690,29267,600015,566860,91807,0,3276,219353,775,11210
Mike Gallagher,R,WI,08,2020,True,True,3202905,2841801,1169362,188430,2040299,841300,0,132876,2156135,5500,208421
Amanda Stuck,D,WI,08,2020,False,False,416978,399916,2165,169380,221453,30183,0,-4038,136682,1475,6350
Cynthia Lummis,R,WY,S2,2020,False,True,2547033,2581058,114450,516284,1057644,807576,140500,25030,1363096,25750,10115
Merav Ben David,D,WY,S2,2020,False,False,542570,528292,14278,336761,202684,1000,3830,-1705,133494,763,1000
Liz Cheney,R,WY,01,2020,True,True,3003883,3060167,153567,189647,980349,1292490,0,541398,1697514,0,10500
Lynnette Grey Bull,D,WY,01,2020,False,False,134597,132235,2363,64222,65975,2800,0,1600,48875,250,0
